Name	Simplified Chinese	Hanyu Pinyin	Population	Area	Density
Yuexiu District	越秀区	Yuèxiù Qū	1,157,277	33.80	34,239
Liwan District	荔湾区	Lìwān Qū	898,204	59.10	15,198
Haizhu District	海珠区	Hǎizhū Qū	1,558,663	90.40	17,242
Tianhe District	天河区	Tiānhé Qū	1,432,431	96.33	14,870
Baiyun District	白云区	Báiyún Qū	2,222,658	795.79	2,793
Huangpu District	黄埔区	Huángpù Qū	831,600	484.17	1,717
Panyu District	番禺区	Pānyú Qū	1,764,869	786.15	2,245
Huadu District	花都区	Huādū Qū	945,053	970.04	974
Nansha District	南沙区	Nánshā Qū	259,899	527.65	493
Zengcheng District	增城区	Zēngchéng Qū	1,036,731	1,616.47	641
Conghua District	从化区	Cónghuà Qū	593,415	1,974.50	301
